TIPO_DATO;LOTE;COD_DIST;DISTRITO;COD_BARRIO;BARRIO;DIRECCION COMPLETA;VIA_CLASE;VIA_PAR;VIA_NOMBRE;TIPO_NUMERO;NUMERO;UTM_X;UTM_Y;LATITUD;LONGITUD;DIRECCIÓN COMPLETA AMPLIADA;MÁS INFORMACIÓN
CONTENEDOR DE ROPA;03;02;ARGANZUELA;024;LEGAZPI;CALLE DEL PUERTO DE LA CRUZ VERDE, 52;CALLE;DEL;PUERTO DE LA CRUZ VERDE;Número;52;441705.6328;4470736.901;40.38518598;-3.68679802;CALLE DEL PUERTO DE LA CRUZ VERDE, 52;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;03;02;ARGANZUELA;025;DELICIAS;PASEO DE LAS DELICIAS, 123;PASEO;DE LAS;DELICIAS;Número;123;441037.1845;4471591.295;40.39283578;-3.69475192;PASEO DE LAS DELICIAS, 123;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;03;02;ARGANZUELA;023;CHOPERA;PASEO DE LA CHOPERA, 10;PASEO;DE LA;CHOPERA;Número;10;440673.1948;4471624.691;40.39311078;-3.69904358;"PASEO DE LA CHOPERA, 10 Junta Municipal Distrito ""Casa del Reloj"" ";"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;03;02;ARGANZUELA;023;CHOPERA;CALLE DE JAIME EL CONQUISTADOR, 33;CALLE;DE;JAIME EL CONQUISTADOR;Número;33;440733.738;4471769.415;40.39441884;-3.69834372;CALLE DE JAIME EL CONQUISTADOR, 33;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;03;02;ARGANZUELA;025;DELICIAS;PASEO DE LAS DELICIAS, 67;PASEO;DE LAS;DELICIAS;Número;67;441120.7;4472157.2;40.39793966;-3.69382026;PASEO DE LAS DELICIAS, 67;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;03;02;ARGANZUELA;026;PALOS DE LA FRONTERA;CALLE DEL GENERAL LACY, 1;CALLE;DEL;GENERAL LACY;Número;1;441403.0309;4472887.433;40.40453789;-3.69056079;CALLE DEL GENERAL LACY, 1;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;03;02;ARGANZUELA;025;DELICIAS;CALLE DE MENDEZ ALVARO, 60;CALLE;DE;MENDEZ ALVARO;Número;60;442166.889;4471987.02;40.39647989;-3.68147759;CALLE DE MENDEZ ALVARO, 60;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;03;02;ARGANZUELA;025;DELICIAS;CALLE DE LA ESTRELLA DENEBOLA, 5;CALLE;DE LA;ESTRELLA DENEBOLA;Número;5;442010.0508;4471732.207;40.39417349;-3.68330236;CALLE DE LA ESTRELLA DENEBOLA, 5 Punto Limpio Fijo;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;03;02;ARGANZUELA;022;ACACIAS;CALLE DE ARGANDA 12;CALLE;DE;ARGANDA;Número;12;439906.9504;4472441.818;40.40041693;-3.70814865;CALLE DE ARGANDA 12;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;03;02;ARGANZUELA;022;ACACIAS;CALLE DEL LABRADOR, 20;CALLE;DEL;LABRADOR;Número;20;440383.2421;4472546.217;40.40139165;-3.70254611;CALLE DEL LABRADOR, 20;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
