Parada;nodo Inter Urbano;TIPO MOBILIARIO (ACTUAL);COD_DIS;DISTRITO;DIRECCIÓN;VIAL;Nº;emplazamiento;sentido;Direccion_completa;Coord ED50_X;Coord ED50_Y;CONT PILAS;nº_linea EMT;X ETRS89 U.T.M.;Y ETRS89 U.T.M.;Longitud;Latitud
23;6341;MARQUESINA MOD XXI 5-M STD;9;MONCLOA - ARAVACA;PUERTA DE HIERRO;AV;Nº 0;JTO FACULTAD DE ESTADISTICA (2ª MARQ);MONCLOA;PUERTA DE HIERRO, AV JTO FACULTAD DE ESTADISTICA (2ª MARQ) - MONCLOA;437709;4477961;SI;83/133/162/601/611/611A/612/613/621/622/623/624/625/627/628/629/631/635/(DV 641/642/643/)651/652/653/654/655/656/656A/657/645/---624A/658/671/672/672A/673/681/682/683/684/686/686A/687/688/691/661/661A/662/664/N602/N604/N901/N902/N903/N906/N907/;437599,6073;4477753,563;-3,73585804;40,44809753
24;;MARQUESINA MOD XXI 4-M STD;16;HORTALEZA;MAR DE CRISTAL;GTA;Nº 0;DESP C/ AREQUIPA (2ª MARQ);C/MAR ADRIATICO;MAR DE CRISTAL, GTA DESP C/ AREQUIPA (2ª MARQ) - C/ MAR ADRIATICO;446051;4480263;SI;112/125/;445941,5885;4480055,464;-3,637687306;40,46941859
31;;MARQUESINA MOD XXI 5-M STD;5;CHAMARTIN;MATEO INURRIA;CALLE;Nº 0;FTE CYII (2ª MARQ);PZA. CASTILLA;MATEO INURRIA, CALLE  FTE CANAL ISABEL II (2ª MARQ) - PZA CASTILLA;441756;4479957;SI;5/66/70/107/129/174/;441646,603;4479749,524;-3,68832061;40,46637195
70;;MARQUESINA MOD XXI 5-M STD;1;CENTRO;CIBELES DE;PZA;Nº 0;Pº CENTRAL Pº DEL PRADO (3ª MARQ);PZA INDEPENDEN.;CIBELES (DE), PZA  Pº CENTRAL Pº DEL PRADO (3ª MARQ) - PZA INDEPENDENCIA;441286,8438;4474709;SI;15/52/146/;441177,3979;4474501,501;-3,693368894;40,41906231
73;;MARQUESINA MOD XXI 5-M STD;1;CENTRO;RECOLETOS (DE);Pº;Nº 1;ANT PZA DE CIBELES (1ª MARQ);PZA DE CIBELES;RECOLETOS (DE), Pº Nº1 ANT PZA DE CIBELES (1ª MARQ) - PZA CIBELES;441335,9548;4474828,455;SI;REFUGIO;441226,51;4474620,956;-3,692801066;40,42014188
78;;MARQUESINA MOD XXI 4-M STD;3;RETIRO;CANOVAS DEL CASTILLO;PZA;Nº 0;DESP C/ FELIPE IV ( 1ª MARQ);PZA DE CIBELES;CANOVAS DEL CASTILLO, PZA DESP C/ FELIPE IV (1ª MARQ) - PZA CIBELES;441293;4474319;SI;REFUGIO;441183,5499;4474111,499;-3,69326032;40,41554941
82;;MARQUESINA MOD XXI 4-M STD;3;RETIRO;PRADO (DEL);Pº;Nº 13;CUESTA MOYANO (1ª MARQ);PZA DE CIBELES;PRADO (DEL), Pº Nº13 CUESTA MOYANO (1ª MARQ) - PZA CIBELES;441380,4294;4473698,535;SI;REFUGIO;441270,9721;4473491,029;-3,692172684;40,40996608
84;;MARQUESINA MOD XXI 5-M STD;1;CENTRO;ATOCHA;RDA;Nº 30;;GTA EMBAJADORES;ATOCHA, RONDA Nº30 - GTA EMBAJADORES;440817,5564;4473284,961;SI;27/34/36/41/119/C1/C03/N12/N15/N17/;440708,0975;4473077,46;-3,698767651;40,40620055
105;;MARQUESINA MOD XXI 4-M STD;5;CHAMARTIN;FRAY BERNARDINO SAHAGUN;CALLE;Nº 1;ANT PZA MADRE MOLAS;PZA MADRE MOLAS;FRAY BERNARDINO SAHAGUN, CALLE Nº1 ANT PZA MADRE MOLAS - PZA MADRE MOLAS;442071,8802;4479537,322;SI;150/;441962,4778;4479329,84;-3,684556506;40,46261338
109;;MARQUESINA MOD XXI 4-M REDUCIDA;5;CHAMARTIN;ALFONSO XIII;AV;Nº 204;FTE  Nº 167;C/FRAY BERNADINO SAH;ALFONSO XIII, AV Nº204  - C/ FRAY BERNADINO SAHAGUN;442417,6652;4479285,314;SI;150/;442308,2593;4479077,826;-3,680455355;40,4603672
112;;MARQUESINA MOD XXI 5-M STD;5;CHAMARTIN;PIO XII;AV;Nº 0;DESP PZA DEL PERU;M-30;PIO XII, AV DESP PZA DEL PERU - M-30;442766;4479333;SI;16/29/150/N1/;442656,5931;4479125,506;-3,676351452;40,46082085
113;;MARQUESINA MOD XXI 5-M STD;5;CHAMARTIN;PERU (DEL);PZA;Nº 1;ANT C/ PRINCIPE DE VERGARA;C/ PRINCIPE VERGARA;PERU, PZA Nº1 ANT C/ PRINCIPE DE VERGARA - C/ PRINCIPE DE VERGARA;442717;4479256;SI;51/;442607,5927;4479048,507;-3,676922398;40,46012381
115;;MARQUESINA MOD XXI 5-M STD;5;CHAMARTIN;PIO XII;AV;Nº 0;JTO CENTRO COMERCIAL (1ª MARQ);M-30;PIO XII, AV  JTO CENTRO COMERCIAL  (1ª MARQ) - M-30;442795,2982;4479513,673;SI;REFUGIO;442685,8928;4479306,18;-3,676022208;40,46245046
116;;MARQUESINA MOD XXI 5-M STD;5;CHAMARTIN;PIO XII;AV;Nº 47;DESP C/ COMANDANTE FRANCO A 60M.;C/ PRINCIPE VERGARA;PIO XII, AV Nº47 DESP C/ COMANDANTE FRANCO A 60M - C/ PRINCIPE DE VERGARA;442820,6816;4479808,665;SI;16/29/150/N1/;442711,2787;4479601,174;-3,675749431;40,46510964
125;;MARQUESINA MOD XXI 5-M STD;5;CHAMARTIN;BURGOS;AV;Nº 0;FTE Nº 30;DUQUE PASTRANA;BURGOS, AV FTE Nº 30 - C/ DUQUE PASTRANA;442831;4481395;SI;129/150/174/;442721,6108;4481187,517;-3,675770812;40,47940083
127;;MARQUESINA MOD XXI 4-M STD;5;CHAMARTIN;SAN LUIS;AV;Nº 0;ANT AV DE BURGOS;AV. BURGOS;SAN LUIS, AV ANT DE AV DE BURGOS - AV BURGOS;442876;4481562;SI;129/150/;442766,612;4481354,517;-3,675254997;40,48090834
129;17221;MARQUESINA MOD XXI 5-M REDUCIDA;15;CIUDAD LINEAL;SAN LUIS;AV;Nº 0;DESP C/ CONDADO DE TREVIÑO;AV BURGOS;SAN LUIS, AV DESP C/ CONDADO DE TREVIÑO - AV BURGOS;443140;4481403;SI;129/150/158/;443030,6096;4481195,512;-3,672126199;40,47949411
132;17023;MARQUESINA MOD XXI 5-M REDUCIDA ;15;CIUDAD LINEAL;SAN LUIS;AV;Nº 93;;PZA STOS HUMOSA;SAN LUIS, AV Nº 93 - PZA SANTOS DE LA HUMOSA;443241,6656;4481167,706;SI;129/150/158/;443132,2728;4480960,216;-3,670905751;40,47738143
136;;MARQUESINA MOD XXI 4-M STD;15;CIUDAD LINEAL;ARTURO SORIA;CALLE;Nº 324;ANT C/ DE LA CULTURA;M-40;ARTURO SORIA, CALLE Nº 324 ANT C/DE LA CULTURA - M-40;443453;4481288;SI;29/125/129/150/;443343,6074;4481080,507;-3,668423407;40,47847951
137;16809;MARQUESINA MOD XXI 4-M REDUCIDA;15;CIUDAD LINEAL;ARTURO SORIA;CALLE;Nº 329;ANT C/CALERUEGA;PZA. CIUDAD LINEAL;ARTURO SORIA, CALLE Nº 329 ANT C/CALERUEGA - PZA CIUDAD LINEAL;443554;4481502;SI;125/129/150/N1/158/;443444,6089;4481294,507;-3,667250971;40,4804142
140;11317;MARQUESINA MOD XXI 4-M STD;15;CIUDAD LINEAL;ARTURO SORIA;CALLE;Nº 340;ANT C/ LAUD;M-40;ARTURO SORIA, CALLE Nº 340 ANT C/LAUD - M-40;443784;4481713;SI;125/129/150/N1/158/;443674,6098;4481505,505;-3,664556296;40,4823306
146;;MARQUESINA MOD XXI 5-M STD;5;CHAMARTIN;BURGOS;AV;Nº 8;DESP AV PIO XII;AV SAN LUIS;BURGOS, AV. Nº 8 DESP AV PIO XII - AV SAN LUIS;442832,3126;4480691,169;SI;129/150/               ;442722,9173;4480483,682;-3,675691832;40,47306047
147;;MARQUESINA MOD XXI 5-M STD;4;SALAMANCA;MANUEL BECERRA;PZA;Nº 0;CON FCO SILVELA 1ª DARSENA (2ª MARQ);C/ ALCALA;MANUEL BECERRA, PZA  CON FCO SILVELA 1º DARSENA (2ª MARQ) - C/ALCALA;443350,71;4475745,92;SI;156/;443241,2668;4475538,399;-3,669135286;40,42854656
149;;MARQUESINA MOD XXI 4-M REDUCIDA;4;SALAMANCA;DOCTOR ESQUERDO;CALLE;Nº 33;FTE Nº 22;MANUEL BECERRA;DOCTOR ESQUERDO, CALLE Nº 33 FTE AL Nº 22 - PZA MANUEL BECERRA;443401,3726;4475329,44;SI;2/56/71/143/156/C2/;443291,9249;4475121,916;-3,668500962;40,42479811
150;;MARQUESINA MOD XXI 5-M STD;4;SALAMANCA;DOCTOR ESQUERDO;CALLE;Nº 40;DESP C/ DUQUE DE SESTO 1ª MARQ;PZA.CONDE CASAL;DOCTOR ESQUERDO, CALLE  Nº 40 DESP C/ DUQUE DE SESTO (1ª MARQ) - PZA CONDE CASAL;443341;4475012;SI;REFUGIO;443231,5491;4474804,475;-3,669184314;40,42193432
151;;MARQUESINA MOD XXI 4-M STD;4;SALAMANCA;DOCTOR ESQUERDO;CALLE;Nº 49;FTE CASA DE LA MONEDA;PZA MANUEL BECERRA;DOCTOR ESQUERDO, CALLE Nº 49 FTE CASA DE LA MONEDA - PZA MANUEL BECERRA;443381,9846;4475094,221;SI;2/30/56/71/143/156/;443272,5345;4474886,696;-3,668708546;40,42267781
159;;MARQUESINA MOD XXI 5-M STD;3;RETIRO;O'DONNELL;CALLE;Nº 0;FTE Nº 9;M - 30;O'DONNELL, CALLE  FTE Nº 9 - M - 30;442361;4474960;SI;20/N8/;442251,5519;4474752,489;-3,680730996;40,42139857
175;;MARQUESINA MOD XXI 4-M REDUCIDA;1;CENTRO;MARTIRES DE ALCALA;CALLE;Nº 4;DESP C/ PRINCESA;C/ BLASCO GARAY;MARTIRES DE ALCALA, CALLE Nº4 DESP C/ PRINCESA - C/ BLASCO GARAY;439580;4475683;SI;2/;439470,5735;4475475,527;-3,713579272;40,42771436
176;;MARQUESINA MOD XXI 4-M ESTRECHA;7;CHAMBERI;BLASCO DE GARAY;CALLE;Nº 2;ESQ C/ ALBERTO AGUILERA;C/ CEA BERMUDEZ;BLASCO DE GARAY, CALLE Nº2 DESP C/ ALBERTO AGUILERA - C/ CEA BERMUDEZ;439740;4475985;SI;SIN C/H SOLO INDICADOR DE TECHO;439630,5759;4475777,527;-3,711721828;40,43044654
185;;MARQUESINA MOD XXI 5-M STD;7;CHAMBERI;REINA VICTORIA;AV;Nº 71;ANT C/ DEL MAESTRO ANGEL LLORCA;CUATRO CAMINOS;REINA VICTORIA, AV Nº 71  ANT C/ MAESTRO ANGEL LLORCA - GTA CUATRO CAMINOS;439543,1872;4477686,717;SI;2/C1/F/;439433,7822;4477479,256;-3,714203952;40,44576212
186;;MARQUESINA MOD XXI 4-M STD;7;CHAMBERI;GUZMAN EL BUENO;CALLE;Nº 0;JUNTO DELEGACION DE HACIENDA;C/ALBERTO AGUILERA;GUZMAN EL BUENO, CALLE  JTO DELEGACION DE HACIENDA - C/ ALBERTO AGUILERA;439695,6692;4477692,024;SI;2/;439586,2634;4477484,561;-3,712406512;40,445821
190;;MARQUESINA MOD XXI 4-M REDUCIDA;7;CHAMBERI;GUZMAN EL BUENO;CALLE;Nº 65;ESQ C/ FERNANDEZ DE LOS RIOS;ALBERTO AGUILER;GUZMAN EL BUENO, CALLE Nº65 ANT C/ FERNANDEZ DE LOS RIOS - C/ ALBERTO AGUILERA;439617,301;4476582,208;SI;2/;439507,8841;4476374,74;-3,713225031;40,43581757
191;;MARQUESINA MOD XXI 4-M REDUCIDA;7;CHAMBERI;GUZMAN EL BUENO;CALLE;Nº 39;ESQ C/ MELENDEZ VALDES 60 MTS;ALBERTO AGUILERA;GUZMAN EL BUENO, CALLE Nº39 ANT C/ MELENDEZ VALDES (2ª MARQ) - C/ ALBERTO AGUILERA;439599,127;4476326,3;SI;2/;439489,7074;4476118,831;-3,713414959;40,43351091
194;;MARQUESINA MOD XXI 5-M REDUCIDA;3;RETIRO;MENENDEZ PELAYO;AV;Nº 173;DESP C/MENORCA;C/ PRINCIPE DE VERGARA;MENENDEZ PELAYO, AV Nº 17 DESP C/ MENORCA - C/ PRINCEPE DE VERGARA;442491,0716;4474778,018;SI;20/152/N8/;442381,6211;4474570,504;-3,679181372;40,41976817
199;;MARQUESINA MOD XXI 5-M REDUCIDA ;3;RETIRO;IBIZA;CALLE;Nº 43;;AV MENENDEZ PELAYO;IBIZA, CALLE Nº43 - AV MENENDEZ PELAYO;443035;4474606;SI;2/N8/;442925,5459;4474398,477;-3,672754798;40,41825595
208;;MARQUESINA MOD XXI 4-M STD;5;CHAMARTIN;CAIDOS DIVISION AZUL;CALLE;Nº 12;ANTES DE AV. PIO XII;C/ ARTURO SORIA;CAIDOS DIVISION AZUL, CALLE Nº12 ANT AV PIO XII - C/ ARTURO SORIA;442865,4348;4480055,387;SI;70/107/;442756,0338;4479847,896;-3,675243815;40,46733532
213;;MARQUESINA MOD XXI 4-M STD;15;CIUDAD LINEAL;ARTURO SORIA;CALLE;Nº 246;ESQ C/ GONZALEZ AMIGO;M-40;ARTURO SORIA, CALLE Nº246 DESP C/ GONZALEZ AMIGO - M-40;443666,8352;4479957,474;SI;70/;443557,4303;4479749,971;-3,665782525;40,466508
214;;MARQUESINA MOD XXI 5-M STD;15;CIUDAD LINEAL;ARTURO SORIA;CALLE;Nº 254;DESP C/ AÑASTRO;M-40;ARTURO SORIA, CALLE Nº254 DESP C/ AÑASTRO - M-40;443652;4480068;SI;7/29/107/N1/;443542,5961;4479860,498;-3,665967329;40,46750266
223;;MARQUESINA MOD XXI 4-M STD;15;CIUDAD LINEAL;ARTURO SORIA;CALLE;Nº 164;;M-40;ARTURO SORIA, CALLE Nº164 - M-40;444540,9014;4478637,889;SI;11/70/122/N3/;444431,4817;4478430,366;-3,655357543;40,45467926
225;;MARQUESINA MOD XXI 4-M STD;15;CIUDAD LINEAL;ARTURO SORIA;CALLE;Nº 136;ANT C/ DIEGO DE AYLLON;M-40;ARTURO SORIA, CALLE Nº136 ANT C/ DIEGO DE AYLLON - M-40;444806,3222;4478214,783;SI;11/70/122/N3/;444696,8979;4478007,254;-3,652190648;40,45088536
