TIPO DATO;TIPO  SITUADO;DISTRITO;DIRECCION COMPLETA;CLASE_VIAL;NOMBRE_VIAL;NUM;COORDENADA X;COORDENADA Y;LATITUD;LONGITUD;DIRECCIÓN COMPLETA AMPLIADA
Contenedor de aceite;Vía Pública;Arganzuela;Calle Arganda, 18 Frente a Calle Melilla;Calle;Arganda;18;439955,98;4472467,77;40,40065439;-3,707573358;Calle Arganda, 18 Frente a Calle Melilla Frente a Calle Melilla
Contenedor de aceite;Vía Pública;Arganzuela;Paseo  Santa María de la Cabeza, 45 ;Paseo; Santa María de la Cabeza;45;440757,2772;4472644,297;40,40230203;-3,698147774;Paseo  Santa María de la Cabeza, 45 
Contenedor de aceite;Vía Pública;Arganzuela;Calle Alonso Carbonell, 2 ;Calle;Alonso Carbonell;2;440899,6182;4471822,983;40,39491333;-3,696394229;Calle Alonso Carbonell, 2 
Contenedor de aceite;Dependencias Municipales;Arganzuela;Calle Alicante, 14 ;Calle;Alicante;14;441327,73;4471765,77;40,39442819;-3,691344761;Calle Alicante, 14  C.D.M LA FUNDI
Contenedor de aceite;Punto Limpio Fijo;Arganzuela;Calle Estrella Denebola, 5 ;Calle;Estrella Denebola;5;442002,0076;4471732,978;40,39418001;-3,683397192;Calle Estrella Denebola, 5  PUNTO LIMPIO FIJO ARGANZUELA
Contenedor de aceite;Vía Pública;Barajas;Calle Ayerbe,  s/n ;Calle;Ayerbe; s/n;450980,0862;4480124,115;40,47034978;-3,578260176;Calle Ayerbe,  s/n 
Contenedor de aceite;Punto Limpio Fijo;Barajas;Calle Alhaurín, 5 ;Calle;Alhaurín;5;450379,0038;4480534,935;40,47401501;-3,585382594;Calle Alhaurín, 5  PUNTO LIMPIO FIJO BARAJAS
Contenedor de aceite;Vía Pública;Carabanchel;Calle Vía Lusitana, 10 ;Calle;Vía Lusitana;10;438828,32;4470657,29;40,38426264;-3,720687091;Calle Vía Lusitana, 10 
Contenedor de aceite;Vía Pública;Carabanchel;Calle Camino de las Cruces,  s/n ;Calle;Camino de las Cruces; s/n;435871,3302;4469601,524;40,37452951;-3,755415481;Calle Camino de las Cruces,  s/n 
Contenedor de aceite;Vía Pública;Carabanchel;Plaza Julio Cortázar, 2 ;Plaza;Julio Cortázar;2;437964,4547;4472111,645;40,39730027;-3,731005495;Plaza Julio Cortázar, 2 
Contenedor de aceite;Punto Limpio Fijo;Carabanchel;Calle Cidro, 5 ;Calle;Cidro;5;436684,0076;4468897,893;40,36825301;-3,745773292;Calle Cidro, 5  PUNTO LIMPIO FIJO CARABANCHEL
Contenedor de aceite;Vía Pública;Centro;Plaza San Miguel, 7 ;Plaza;San Miguel;7;439828,5059;4474082,099;40,41518783;-3,709228076;Plaza San Miguel, 7 
Contenedor de aceite;Vía Pública;Centro;Plaza Campillo del Mundo Nuevo,  s/n ;Plaza;Campillo del Mundo Nuevo; s/n;439839,1352;4473127,763;40,40659149;-3,709012567;Plaza Campillo del Mundo Nuevo,  s/n 
Contenedor de aceite;Dependencias Municipales;Centro;Calle Gran Vía de San Francisco, 1;Calle;Gran Vía de San Francisco;1;439572,66;4473192,34;40,40715393;-3,712158953;Calle Gran Vía de San Francisco, 1 CENTRO CULTURAL PUERTA DE TOLEDO
Contenedor de aceite;Mercados Y Galerias;Centro;Calle Embajadores, 41 ;Calle;Embajadores;41;440279,8644;4473252,453;40,40774649;-3,703830524;Calle Embajadores, 41  MERCADO MUNICIPAL SAN FERNANDO
Contenedor de aceite;Mercados Y Galerias;Centro;Plaza Cebada, 17 ;Plaza;Cebada;17;439780,01;4473650,22;40,41129375;-3,709758766;Plaza Cebada, 17  MERCADO MUNICIPAL LA CEBADA
Contenedor de aceite;Vía Pública;Chamartín;Calle Corazón de María, 51 ;Calle;Corazón de María;51;443461,4819;4477543,135;40,44662136;-3,666717683;Calle Corazón de María, 51 
Contenedor de aceite;Vía Pública;Chamartín;Calle Bolivia, 14 ;Calle;Bolivia;14;442507,4386;4478664,458;40,45665733;-3,67806881;Calle Bolivia, 14 
Contenedor de aceite;Punto Limpio Fijo;Chamartín;Plaza José Maria Soler,  s/n ;Plaza;José Maria Soler; s/n;443406,0021;4478882,919;40,45868701;-3,667491293;Plaza José Maria Soler,  s/n  PUNTO LIMPIO FIJO CHAMARTÍN
Contenedor de aceite;Vía Pública;Chamberí;Calle Arapiles, 4 ;Calle;Arapiles;4;440193,987;4476102,517;40,43341502;-3,705110578;Calle Arapiles, 4 
Contenedor de aceite;Vía Pública;Chamberí;Calle Andrés Mellado, 50 ;Calle;Andrés Mellado;50;439412,4991;4476253,853;40,43472175;-3,714338042;Calle Andrés Mellado, 50 
Contenedor de aceite;Vía Pública;Ciudad Lineal;Calle Vital Aza, 47 ;Calle;Vital Aza;47;445619,5571;4475951,484;40,43242686;-3,641134382;Calle Vital Aza, 47 
Contenedor de aceite;Vía Pública;Ciudad Lineal;Calle Santa Genoveva,  s/n ;Calle;Santa Genoveva; s/n;445075,2853;4475284,643;40,42638382;-3,647493232;Calle Santa Genoveva,  s/n 
Contenedor de aceite;Vía Pública;Ciudad Lineal;Calle Gandhi,  s/n ;Calle;Gandhi; s/n;446186,2214;4475025,586;40,42412269;-3,634375537;Calle Gandhi,  s/n 
Contenedor de aceite;Dependencias Municipales;Ciudad Lineal;Calle Treviana, 1 ;Calle;Treviana;1;444168,6;4477658,6;40,44770932;-3,658389829;Calle Treviana, 1  C.D.M SAN JUAN BAUTISTA
Contenedor de aceite;Dependencias Municipales;Ciudad Lineal;Pasaje Santa Felicidad, 39 ;Pasaje;Santa Felicidad;39;444839;4475068,3;40,42441925;-3,650259799;Pasaje Santa Felicidad, 39  CENTRO CULTURAL LA ELIPA
Contenedor de aceite;Dependencias Municipales;Ciudad Lineal;Calle Nicolás Salmerón, 8 ;Calle;Nicolás Salmerón;8;446735,5;4474339,7;40,41797916;-3,627843374;Calle Nicolás Salmerón, 8  C.D.M LA ALMUDENA
Contenedor de aceite;Dependencias Municipales;Ciudad Lineal;Avenida Hermanos García Noblejas, 160 ;Avenida;Hermanos García Noblejas;160;446694,9;4474996,6;40,42389431;-3,628376971;Avenida Hermanos García Noblejas, 160  C.S.S LUIS VIVES
Contenedor de aceite;Dependencias Municipales;Ciudad Lineal;Avenida Hermanos García Noblejas, 16 ;Avenida;Hermanos García Noblejas;16;445971,8;4476343,9;40,43598492;-3,637015114;Avenida Hermanos García Noblejas, 16  JUNTA MUNICIPAL CIUDAD LINEAL
Contenedor de aceite;Punto Limpio Fijo;Ciudad Lineal;Avenida Daroca, 104 ;Avenida;Daroca;104;446492,0056;4474350,963;40,41806501;-3,630714293;Avenida Daroca, 104  PUNTO LIMPIO FIJO CIUDAD LINEAL
Contenedor de aceite;Vía Pública;Fuencarral - El Pardo;Calle San Cugat del Vallés,  s/n ;Calle;San Cugat del Vallés; s/n;441165,6622;4483128,147;40,4967741;-3,694306775;Calle San Cugat del Vallés,  s/n 
Contenedor de aceite;Vía Pública;Fuencarral - El Pardo;Calle San Leandro,  s/n ;Calle;San Leandro; s/n;434307,8246;4485433,285;40,5170247;-3,77546891;Calle San Leandro,  s/n 
Contenedor de aceite;Vía Pública;Fuencarral - El Pardo;Calle Monforte de Lemos, 105 ;Calle;Monforte de Lemos;105;440375,0007;4481193,001;40,47928518;-3,703454701;Calle Monforte de Lemos, 105 
Contenedor de aceite;Punto Limpio Fijo;Fuencarral - El Pardo;Calle Ubeda, 6 ;Calle;Ubeda;6;439269,9994;4481530,899;40,48224901;-3,716522892;Calle Ubeda, 6  PUNTO LIMPIO FIJO FUENCARRAL
Contenedor de aceite;Vía Pública;Hortaleza;Calle Alcorisa,  c/v Camino Silvano;Calle;Alcorisa;;445642,1433;4479256,536;40,46220202;-3,641150984;Calle Alcorisa,  c/v Camino Silvano c/v Camino Silvano
Contenedor de aceite;Vía Pública;Hortaleza;Calle Santa Adela, 36 Esq Carretera  Estación de Hortaleza;Calle;Santa Adela;36;444796,2095;4481128,579;40,47901053;-3,651291074;Calle Santa Adela, 36 Esq Carretera  Estación de Hortaleza Esq Carretera  Estación de Hortaleza
Contenedor de aceite;Punto Limpio Fijo;Hortaleza;Calle Tomás Redondo, 8 ;Calle;Tomás Redondo;8;446787;4480106,937;40,46993701;-3,627719493;Calle Tomás Redondo, 8  PUNTO LIMPIO FIJO HORTALEZA
Contenedor de aceite;Vía Pública;Latina;Avenida Águilas,  s/n ;Avenida;Águilas; s/n;435261,1808;4470742,916;40,38476447;-3,762718198;Avenida Águilas,  s/n 
Contenedor de aceite;Vía Pública;Latina;Calle José Cadalso, 78 ;Calle;José Cadalso;78;434741,8746;4469977,893;40,37783232;-3,76875752;Calle José Cadalso, 78 
Contenedor de aceite;Mercados Y Galerias;Latina;Calle Doña Urraca, 22 ;Calle;Doña Urraca;22;438370,917;4473877,628;40,41323921;-3,726387252;Calle Doña Urraca, 22  MERCADO MUNICIPAL TIRSO DE MOLINA
Contenedor de aceite;Punto Limpio Fijo;Latina;Calle Concejal Francsico José Jiménez Martín, 5 ;Calle;Concejal Francsico José Jiménez Martín;5;437576,8364;4472480,729;40,40059617;-3,735608888;Calle Concejal Francsico José Jiménez Martín, 5  PUNTO LIMPIO FIJO LATINA
Contenedor de aceite;Vía Pública;Moncloa - Aravaca;Calle San Restituto, 22 ;Calle;San Restituto;22;439694,68;4479595,3;40,46484337;-3,711328636;Calle San Restituto, 22 
Contenedor de aceite;Punto Limpio Fijo;Moncloa - Aravaca;Avenida  Senda del Rey, 20 ;Avenida; Senda del Rey;20;437241,0038;4478162,888;40,45175801;-3,740126992;Avenida  Senda del Rey, 20  PUNTO LIMPIO FIJO MONCLOA ARAVACA
Contenedor de aceite;Vía Pública;Moratalaz;Calle Hacienda de Pavones, 232 ;Calle;Hacienda de Pavones;232;445717,579;4472533,893;40,40164559;-3,639687136;Calle Hacienda de Pavones, 232 
Contenedor de aceite;Vía Pública;Moratalaz;Calle Arroyo de la Media Legua, 4 ;Calle;Arroyo de la Media Legua;4;444178,4161;4473213,014;40,40766174;-3,657883731;Calle Arroyo de la Media Legua, 4 
Contenedor de aceite;Mercados Y Galerias;Moratalaz;Calle Cañada, 17 ;Calle;Cañada;17;445210,9283;4472921,14;40,40510096;-3,645690699;Calle Cañada, 17  MERCADO MUNICIPAL DE MORATALAZ
Contenedor de aceite;Mercados Y Galerias;Moratalaz;Calle Arroyo de las Pilillas, 16 ;Calle;Arroyo de las Pilillas;16;444790,8813;4473270,528;40,40822071;-3,650670973;Calle Arroyo de las Pilillas, 16  GALERIAS EFE
Contenedor de aceite;Punto Limpio Fijo;Moratalaz;Calle Arroyo de la Media Legua, 72 ;Calle;Arroyo de la Media Legua;72;444743,0012;4473975,909;40,41457201;-3,651296493;Calle Arroyo de la Media Legua, 72  PUNTO LIMPIO FIJO MORATALAZ
Contenedor de aceite;Vía Pública;Puente de Vallecas;Calle Doctor Lozano, 16 ;Calle;Doctor Lozano;16;443878,2926;4472724,39;40,40323976;-3,661377518;Calle Doctor Lozano, 16 
Contenedor de aceite;Vía Pública;Puente de Vallecas;Calle Cooperativa Eléctrica, 2 ;Calle;Cooperativa Eléctrica;2;443871,932;4469577,735;40,37489239;-3,661175195;Calle Cooperativa Eléctrica, 2 
Contenedor de aceite;Vía Pública;Puente de Vallecas;Calle Ramón Pérez de Ayala,  s/n ;Calle;Ramón Pérez de Ayala; s/n;444823,6667;4472357,645;40,39999909;-3,650205464;Calle Ramón Pérez de Ayala,  s/n 
Contenedor de aceite;Dependencias Municipales;Puente de Vallecas;Calle Puerto de Navacerrada, 1 ;Calle;Puerto de Navacerrada;1;444253,2;4472504,4;40,40128315;-3,656940357;Calle Puerto de Navacerrada, 1  C.M.M NAVACERRADA
Contenedor de aceite;Dependencias Municipales;Puente de Vallecas;Calle Sierra Carbonera, 74 ;Calle;Sierra Carbonera;74;443540,1;4471293,1;40,39032301;-3,665235846;Calle Sierra Carbonera, 74  CENTRO SOCIO CULTURAL TALLERES DE CREATIVIDAD
Contenedor de aceite;Dependencias Municipales;Puente de Vallecas;Calle Javier de Miguel, 10 ;Calle;Javier de Miguel;10;443663,5;4471119,9;40,38877108;-3,663766665;Calle Javier de Miguel, 10  C.S.S SAN DIEGO
Contenedor de aceite;Dependencias Municipales;Puente de Vallecas;Calle Yuste, 8 ;Calle;Yuste;8;443251,2;4469670,5;40,37568604;-3,668495059;Calle Yuste, 8  C.S.S ENTREVÍAS
Contenedor de aceite;Mercados Y Galerias;Puente de Vallecas;Calle Martinez de la Riva, 4 ;Calle;Martinez de la Riva;4;443328,6019;4471864,316;40,39545449;-3,667778482;Calle Martinez de la Riva, 4  MERCADO MUNICIPAL DE PUENTE DE VALLECAS
Contenedor de aceite;Punto Limpio Fijo;Puente de Vallecas;Calle José Paulete, 43 ;Calle;José Paulete;43;444457,0039;4471702,969;40,39407701;-3,654468893;Calle José Paulete, 43  PUNTO LIMPIO FIJO PUENTE DE VALLECAS
Contenedor de aceite;Vía Pública;Retiro;Avenida Mediterráneo, 47 ;Avenida;Mediterráneo;47;443266,6582;4473125,94;40,40681569;-3,668620777;Avenida Mediterráneo, 47 
Contenedor de aceite;Vía Pública;Retiro;Calle Marqués de Lozoya, 3 ;Calle;Marqués de Lozoya;3;443610,7988;4474270,337;40,41714844;-3,664666655;Calle Marqués de Lozoya, 3 
Contenedor de aceite;Vía Pública;Retiro;Calle Seco, 4 ;Calle;Seco;4;442965,9832;4472258,834;40,39898378;-3,672086405;Calle Seco, 4 
Contenedor de aceite;Dependencias Municipales;Retiro;Calle José Martinez de Velasco, 22 ;Calle;José Martinez de Velasco;22;443353,2;4473996,5;40,41466407;-3,667678424;Calle José Martinez de Velasco, 22  C.S.S RETIRO
Contenedor de aceite;Vía Pública;Salamanca;Calle Ardemans, 17 ;Calle;Ardemans;17;443000,4926;4476174,515;40,43426068;-3,672030655;Calle Ardemans, 17 
Contenedor de aceite;Vía Pública;Salamanca;Avenida Bruselas, 57 ;Avenida;Bruselas;57;443767,9447;4476741,016;40,43941625;-3,663033016;Avenida Bruselas, 57 
Contenedor de aceite;Dependencias Municipales;Salamanca;Calle Elvira, 36 ;Calle;Elvira;36;443558,1;4474702,9;40,42104162;-3,66532617;Calle Elvira, 36  C.D.M FUENTE DEL BERRO
