CODIGO SOPORTE;TIPO SOPORTE;CODIGO J.M.;DISTRITO;VIAL;DIRECCION;NUMERO;COORD X UTM ETRS89;COORD Y UTM ETRS89;FECHA PUESTA EN SERVICIO;LONGITUD;LATITUD;NOMBRE
010158MPP;MUPI PILAS;1;CENTRO;CALLE;BARQUILLO;17;440982.73;4474804.30;19/07/2018;-3.6956915;40.4217763;CALLE BARQUILLO,17
010159MPP;MUPI PILAS;1;CENTRO;CALLE;CONDE DE ROMANONES;2;440218.19;4473941.95;07/02/2017;-3.7046221;40.4139533;CALLE CONDE DE ROMANONES,2
010162MPP;MUPI PILAS;1;CENTRO;CALLE;ALCALÁ;48;441103.08;4474499.78;30/09/2016;-3.6942447;40.4190415;CALLE ALCALÁ,48
010163MPP;MUPI PILAS;1;CENTRO;CALLE;ATOCHA;76;440834.84;4473665.63;08/11/2016;-3.6973288;40.4115081;CALLE ATOCHA,76
010165MPP;MUPI PILAS;1;CENTRO;CALLE;ATOCHA;121;441106.67;4473500.32;15/12/2016;-3.6941099;40.4100382;CALLE ATOCHA,121
010166MPP;MUPI PILAS;1;CENTRO;PLAZA;EMPERADOR CARLOS V;11;441248.99;4473390.37;24/02/2020;-3.6924224;40.4090577;PLAZA EMPERADOR CARLOS V, 11
010168MPP;MUPI PILAS;1;CENTRO;CALLE;BAILÉN;14;439435.37;4473837.19;06/10/2016;-3.7138382;40.4129529;CALLE BAILÉN,14
010174MPP;MUPI PILAS;1;CENTRO;CALLE;FUENCARRAL;94;440477.68;4475435.17;27/09/2016;-3.7017036;40.4274235;CALLE FUENCARRAL,94
010176MPP;MUPI PILAS;1;CENTRO;CALLE;FUENCARRAL;81;440530.98;4475233.90;24/02/2020;-3.7010565;40.4256142;CALLE FUENCARRAL, 81
010177MPP;MUPI PILAS;1;CENTRO;CALLE;GÉNOVA;18;441142.60;4475339.08;13/10/2016;-3.6938566;40.4266052;CALLE GÉNOVA,18
010184MPP;MUPI PILAS;1;CENTRO;CALLE;PRINCESA;32;439418.89;4475503.03;03/01/2017;-3.7141911;40.4279584;CALLE PRINCESA,32
010186MPP;MUPI PILAS;1;CENTRO;AVENIDA;GRAN VÍA DE SAN FRANCISCO;2;439608.15;4473195.01;14/06/2017;-3.711741;40.4071804;AVENIDA GRAN VÍA DE SAN FRANCISCO,2
010188MPP;MUPI PILAS;1;CENTRO;CALLE;SAN BERNARDO;24;439989.50;4474970.37;04/10/2016;-3.7074144;40.4232013;CALLE SAN BERNARDO,24
010191MPP;MUPI PILAS;1;CENTRO;CALLE;TINTOREROS;1;439908.95;4473909.31;05/10/2016;-3.7082637;40.4136369;CALLE TINTOREROS,1
010193MPP;MUPI PILAS;1;CENTRO;CALLE;TOLEDO;34;439966.10;4473823.09;05/10/2016;-3.707582;40.4128644;CALLE TOLEDO,34
